iter	RMSE
0	2.234461337
1	2.010846764
2	1.813335581
3	1.639573849
4	1.488093962
5	1.352295623
6	1.233149128
7	1.128144432
8	1.037793602
9	0.9575910995
10	0.8903266907
11	0.8318849425
12	0.7810484468
13	0.7333465546
14	0.6916215606
15	0.6560579765
16	0.6255859178
17	0.597255261
18	0.5714232088
19	0.5479670433
20	0.5280983613
21	0.5123043272
22	0.4974419889
23	0.4834246903
24	0.4709054349
25	0.4564902717
26	0.4445056622
27	0.4342611358
28	0.4237736506
29	0.4139078099
30	0.4061835116
31	0.3993611285
32	0.3926639568
33	0.3880873324
34	0.3833357234
35	0.3774968524
36	0.372007894
37	0.3677114657
38	0.3632891042
39	0.3606168397
40	0.357917033
41	0.354624805
42	0.3511158803
43	0.3472393272
44	0.3452232006
45	0.3416791584
46	0.3384376986
47	0.3367561392
48	0.3338675494
49	0.3306437251
50	0.328737623
51	0.3255079059
52	0.3231032341
53	0.321203447
54	0.319219993
55	0.3172033864
56	0.315574792
57	0.3135451534
58	0.3127255854
59	0.3100169526
60	0.307031334
61	0.3046878923
62	0.302835412
63	0.3014031999
64	0.300512863
65	0.2984950293
66	0.2958528014
67	0.2942237094
68	0.2932064822
69	0.2905579567
70	0.2897551882
71	0.2883104509
72	0.2869421947
73	0.2861469748
74	0.2851808493
75	0.2846096841
76	0.2827344744
77	0.2801077018
78	0.2785320936
79	0.2776430436
80	0.2766810278
81	0.2743476745
82	0.2729895277
83	0.2712548535
84	0.2701812502
85	0.2695627246
86	0.2686281135
87	0.2667661771
88	0.2662597173
89	0.2644996158
90	0.2629949321
91	0.2619856674
92	0.2610482917
93	0.2595874577
94	0.2586815856
95	0.2575895725
96	0.2560814484
97	0.2540686427
98	0.2534981382
99	0.2521133543
100	0.2511705809
101	0.2498590084
102	0.2489185143
103	0.2480140705
104	0.2471632004
105	0.2453269532
106	0.243845473
107	0.243195
108	0.2426576916
109	0.2418055388
110	0.2407797399
111	0.2397466206
112	0.2388537208
113	0.2382546317
114	0.2374343305
115	0.2356451549
116	0.234791384
117	0.2340228963
118	0.2329447206
119	0.2324339251
120	0.2310645124
121	0.2298336346
122	0.2291034428
123	0.2274412559
124	0.226883425
125	0.2261810064
126	0.2254343078
127	0.2241111569
128	0.2232761079
129	0.2228340824
130	0.2223312737
131	0.2215926145
132	0.2208026176
133	0.2194039836
134	0.2190991964
135	0.2188484816
136	0.2173917504
137	0.2166998972
138	0.2159457036
139	0.2153626045
140	0.2146244828
141	0.214177136
142	0.2136986637
143	0.2134664619
144	0.2131269977
145	0.2127889795
146	0.2122095488
147	0.2119701257
148	0.2115829801
149	0.211144642
150	0.2102282406
151	0.2093140934
152	0.2084329412
153	0.2081234647
154	0.2075861492
155	0.2072313154
156	0.2066307049
157	0.2062946791
158	0.2051803899
159	0.2044823693
160	0.2040093599
161	0.2035583365
162	0.2031426308
163	0.2028771722
164	0.2025386411
165	0.2016062874
166	0.2013583051
167	0.2010875955
168	0.1999792929
169	0.1994939785
170	0.1992950401
171	0.198993621
172	0.1985506001
173	0.1983638167
174	0.1972754756
175	0.1964504351
176	0.1962545534
177	0.1958255135
178	0.1953033837
179	0.1947547003
180	0.1940303049
181	0.1938571879
182	0.1932895921
183	0.192950228
184	0.1918813097
185	0.1913371425
186	0.1908872476
187	0.1907066818
188	0.190135623
189	0.1896860449
190	0.1893502675
191	0.1889727183
192	0.1887000907
193	0.188272424
194	0.1880211442
195	0.1875294716
196	0.1873075852
197	0.1865736137
198	0.1863437479
199	0.1860111741
200	0.1857820311
201	0.1856118208
202	0.1849031566
203	0.1846312643
204	0.1838356022
205	0.1835314912
206	0.1830348965
207	0.1823493825
208	0.1822021604
209	0.1814655018
210	0.1805913177
211	0.1801076417
212	0.1797516258
213	0.1792076946
214	0.179007662
215	0.1786541656
216	0.1783674623
217	0.1781695423
218	0.1780430368
219	0.1775175161
220	0.1773597867
221	0.1768886708
222	0.1765902915
223	0.176409383
224	0.1761328988
225	0.1759198532
226	0.1754159311
227	0.1751472455
228	0.1748761318
229	0.1746048545
230	0.1743512015
231	0.1740950726
232	0.173856993
233	0.173698092
234	0.1734048086
235	0.1732442016
236	0.1731419404
237	0.1728003866
238	0.1725722769
239	0.1724190112
240	0.1718157646
241	0.1717502281
242	0.1706626604
243	0.1701810664
244	0.1698658602
245	0.169736795
246	0.1693348876
247	0.1691718175
248	0.1690682654
249	0.1686608646
250	0.1684135018
251	0.1683289096
252	0.1683007917
253	0.1680613236
254	0.1676177718
255	0.1674623262
256	0.1672923873
257	0.1669918301
258	0.1667437741
259	0.1663450134
260	0.165969657
261	0.1657639779
262	0.1656579317
263	0.1654789794
264	0.1652830297
265	0.164949578
266	0.164720097
267	0.1645727583
268	0.164352093
269	0.1637201237
270	0.1636577556
271	0.1635544597
272	0.1633429504
273	0.1631419056
274	0.162827822
275	0.1623691565
276	0.1622512152
277	0.1618721148
