iter	Passed	Remaining
0	6	8068
1	12	7731
2	17	7650
3	23	7572
4	29	7517
5	35	7453
6	40	7420
7	46	7406
8	52	7392
9	57	7363
10	63	7346
11	69	7327
12	74	7319
13	80	7304
14	86	7286
15	91	7268
16	97	7255
17	103	7249
18	108	7237
19	114	7233
20	120	7233
21	125	7211
22	131	7213
23	137	7198
24	142	7186
25	148	7175
26	153	7146
27	158	7119
28	164	7104
29	169	7090
30	174	7065
31	179	7034
32	185	7016
33	190	6981
34	195	6954
35	200	6950
36	205	6931
37	210	6901
38	215	6884
39	220	6850
40	225	6825
41	230	6804
42	235	6783
43	240	6766
44	244	6739
45	250	6732
46	255	6713
47	259	6688
48	264	6672
49	270	6663
50	274	6640
51	280	6635
52	285	6622
53	290	6606
54	295	6589
55	299	6570
56	304	6551
57	309	6537
58	313	6513
59	319	6508
60	324	6504
61	329	6495
62	334	6487
63	339	6471
64	344	6451
65	349	6442
66	354	6441
67	359	6430
68	364	6411
69	370	6413
70	374	6395
71	379	6383
72	384	6370
73	388	6353
74	393	6341
75	398	6323
76	403	6314
77	408	6316
78	413	6305
79	418	6288
80	422	6276
81	428	6273
82	433	6261
83	438	6260
84	443	6248
85	447	6233
86	452	6221
87	457	6217
88	462	6203
89	467	6201
90	473	6196
91	477	6184
92	482	6174
93	487	6169
94	492	6158
95	497	6151
96	502	6146
97	508	6148
98	512	6135
99	518	6128
100	522	6119
101	528	6114
102	532	6104
103	537	6093
104	542	6082
105	547	6077
106	552	6071
107	557	6060
108	561	6048
109	566	6037
110	571	6031
111	576	6023
112	580	6015
113	585	6002
114	590	5993
115	595	5989
116	600	5981
117	604	5971
118	609	5964
119	614	5952
120	619	5948
121	624	5940
122	628	5930
123	634	5928
124	638	5918
125	643	5909
126	648	5899
127	653	5898
128	658	5889
129	662	5879
130	667	5868
131	672	5861
132	677	5855
133	682	5852
134	686	5841
135	691	5830
136	696	5827
137	701	5819
138	706	5812
139	710	5802
140	716	5799
141	720	5792
142	725	5784
143	730	5774
144	734	5766
145	739	5758
146	744	5752
147	749	5744
148	753	5737
149	758	5729
150	763	5724
151	768	5720
152	773	5715
153	778	5707
154	783	5701
155	788	5694
156	793	5688
157	797	5680
158	803	5678
159	808	5673
160	813	5666
161	818	5661
162	823	5655
163	827	5647
164	832	5639
165	837	5635
166	842	5627
167	846	5620
168	852	5619
169	857	5614
170	862	5606
171	867	5601
172	872	5595
173	876	5587
174	882	5584
175	887	5583
176	892	5575
177	897	5569
178	902	5564
179	907	5559
180	912	5555
181	917	5547
182	922	5542
183	926	5534
184	932	5534
185	937	5529
186	942	5523
187	947	5516
188	951	5510
189	956	5505
190	961	5498
191	966	5492
192	971	5484
193	975	5478
194	980	5471
195	985	5466
196	990	5461
197	996	5458
198	1000	5451
199	1005	5445
200	1010	5437
201	1014	5429
202	1020	5426
203	1024	5420
204	1030	5417
205	1034	5411
206	1040	5407
207	1045	5404
208	1050	5396
209	1055	5392
210	1060	5387
211	1065	5383
212	1070	5377
213	1075	5373
214	1080	5366
215	1085	5361
216	1089	5353
217	1094	5346
218	1099	5339
219	1104	5334
220	1108	5327
221	1113	5322
222	1118	5315
223	1122	5309
224	1127	5302
225	1132	5296
226	1137	5291
227	1142	5285
228	1147	5279
229	1151	5272
230	1156	5266
231	1161	5260
232	1166	5254
233	1170	5247
234	1175	5242
235	1180	5236
236	1184	5227
237	1189	5222
238	1194	5215
239	1198	5208
240	1203	5204
241	1208	5197
242	1213	5195
243	1218	5190
244	1223	5185
245	1228	5178
246	1233	5173
247	1238	5167
248	1242	5160
249	1247	5156
250	1252	5150
251	1257	5143
252	1261	5134
253	1266	5129
254	1271	5126
255	1276	5118
256	1280	5112
257	1285	5108
258	1290	5102
259	1295	5098
260	1301	5094
261	1305	5089
262	1310	5082
263	1315	5075
264	1319	5070
265	1325	5065
266	1329	5060
267	1334	5053
268	1339	5048
269	1345	5046
